Country,SP.POP.TOTL
ARB,419790588.0
CSS,7358965.0
CEB,102530626.0
EAR,3249139605.0
EAS,2328138066.0
EAP,2081651801.0
TEA,2056064424.0
EMU,341858176.0
ECS,917973802.0
ECA,416944914.0
TEC,459007507.0
EUU,446786293.0
FCS,743958386.0
HPC,780234406.0
HIC,1209780930.0
IBD,4772259249.0
IBT,6411664536.0
IDB,554990771.0
IDX,1084414516.0
IDA,1639405287.0
LTE,2287825323.0
LCN,641357466.0
LAC,609013934.0
TLA,625569713.0
LDC,1009662578.0
LMY,6383105866.0
LIC,705417321.0
LMC,3022072335.0
MEA,448912959.0
MNA,382896715.0
TMN,378327628.0
MIC,5677688545.0
NAC,363809239.0
INX,
OED,1302998740.0
OSS,30760211.0
PSS,2457367.0
PST,1109455397.0
PRE,919485393.0
SST,40576543.0
SAS,1814388744.0
TSA,1814388744.0
SSF,1078306520.0
SSA,1078209758.0
TSS,1078306520.0
UMC,2655616210.0
WLD,7592886796.0
AFG,37172386.0
ALB,2866376.0
DZA,42228429.0
ASM,55465.0
AND,77006.0
AGO,30809762.0
ATG,96286.0
ARG,44494502.0
ARM,2951776.0
ABW,105845.0
AUS,24982688.0
AUT,8840521.0
AZE,9939800.0
BHS,385640.0
BHR,1569439.0
BGD,161356039.0
BRB,286641.0
BLR,9483499.0
BEL,11433256.0
BLZ,383071.0
BEN,11485048.0
BMU,63973.0
BTN,754394.0
BOL,11353142.0
BIH,3323929.0
BWA,2254126.0
BRA,209469333.0
VGB,29802.0
BRN,428962.0
BGR,7025037.0
BFA,19751535.0
BDI,11175378.0
CPV,543767.0
KHM,16249798.0
CMR,25216237.0
CAN,37057765.0
CYM,64174.0
CAF,4666377.0
TCD,15477751.0
CHI,170499.0
CHL,18729160.0
CHN,1392730000.0
COL,49648685.0
COM,832322.0
COD,84068091.0
COG,5244363.0
CRI,4999441.0
CIV,25069229.0
HRV,4087843.0
CUB,11338138.0
CUW,159800.0
CYP,1189265.0
CZE,10629928.0
DNK,5793636.0
DJI,958920.0
DMA,71625.0
DOM,10627165.0
ECU,17084357.0
EGY,98423595.0
SLV,6420744.0
GNQ,1308974.0
ERI,
EST,1321977.0
SWZ,1136191.0
ETH,109224559.0
FRO,48497.0
FJI,883483.0
FIN,5515525.0
FRA,66977107.0
PYF,277679.0
GAB,2119275.0
GMB,2280102.0
GEO,3726549.0
DEU,82905782.0
GHA,29767108.0
GIB,33718.0
GRC,10731726.0
GRL,56025.0
GRD,111454.0
GUM,165768.0
GTM,17247807.0
GIN,12414318.0
GNB,1874309.0
GUY,779004.0
HTI,11123176.0
HND,9587522.0
HKG,7451000.0
HUN,9775564.0
ISL,352721.0
IND,1352617328.0
IDN,267663435.0
IRN,81800269.0
IRQ,38433600.0
IRL,4867309.0
IMN,84077.0
ISR,8882800.0
ITA,60421760.0
JAM,2934855.0
JPN,126529100.0
JOR,9956011.0
KAZ,18272430.0
KEN,51393010.0
KIR,115847.0
PRK,25549819.0
KOR,51606633.0
XKX,1845300.0
KWT,4137309.0
KGZ,6322800.0
LAO,7061507.0
LVA,1927174.0
LBN,6848925.0
LSO,2108132.0
LBR,4818977.0
LBY,6678567.0
LIE,37910.0
LTU,2801543.0
LUX,607950.0
MAC,631636.0
MDG,26262368.0
MWI,18143315.0
MYS,31528585.0
MDV,515696.0
MLI,19077690.0
MLT,484630.0
MHL,58413.0
MRT,4403319.0
MUS,1265303.0
MEX,126190788.0
FSM,112640.0
MDA,2706049.0
MCO,38682.0
MNG,3170208.0
MNE,622227.0
MAR,36029138.0
MOZ,29495962.0
MMR,53708395.0
NAM,2448255.0
NRU,12704.0
NPL,28087871.0
NLD,17231624.0
NCL,284060.0
NZL,4841000.0
NIC,6465513.0
NER,22442948.0
NGA,195874740.0
MKD,2082958.0
MNP,56882.0
NOR,5311916.0
OMN,4829483.0
PAK,212215030.0
PLW,17907.0
PAN,4176873.0
PNG,8606316.0
PRY,6956071.0
PER,31989256.0
PHL,106651922.0
POL,37974750.0
PRT,10283822.0
PRI,3195153.0
QAT,2781677.0
ROU,19466145.0
RUS,144478050.0
RWA,12301939.0
WSM,196130.0
SMR,33785.0
STP,211028.0
SAU,33699947.0
SEN,15854360.0
SRB,6982604.0
SYC,96762.0
SLE,7650154.0
SGP,5638676.0
SXM,40654.0
SVK,5446771.0
SVN,2073894.0
SLB,652858.0
SOM,15008154.0
ZAF,57779622.0
SSD,10975920.0
ESP,46796540.0
LKA,21670000.0
KNA,52441.0
LCA,181889.0
MAF,37264.0
VCT,110210.0
SDN,41801533.0
SUR,575991.0
SWE,10175214.0
CHE,8513227.0
SYR,16906283.0
TJK,9100837.0
TZA,56318348.0
THA,69428524.0
TLS,1267972.0
TGO,7889094.0
TON,103197.0
TTO,1389858.0
TUN,11565204.0
TUR,82319724.0
TKM,5850908.0
TCA,37665.0
TUV,11508.0
UGA,42723139.0
UKR,44622516.0
ARE,9630959.0
GBR,66460344.0
USA,326687501.0
URY,3449299.0
UZB,32955400.0
VUT,292680.0
VEN,28870195.0
VNM,95540395.0
VIR,106977.0
PSE,4569087.0
YEM,28498687.0
ZMB,17351822.0
ZWE,14439018.0
